1,10
2,17
2,20
1,5
2,7
1,30
1,10
1,25
1,30
2,16
1,10
1,10
1,25
1,20
1,20
1,10
2,30
2,31
1,0
1,20
1,15
2,14
2,12
1,30
2,22
1,20
1,27
1,15
1,50
1,30
1,35
1,10
1,10
1,30
1,30
2,11
1,5
1,25
1,35
1,20
1,15
1,40
2,24
1,30
1,20
2,21
2,9
1,30
1,10
1,30
1,10
2,11
1,40
1,35
2,10
1,40
1,10
2,24
1,10
1,50
2,15
1,15
1,20
2,3
1,20
1,20
1,30
2,4
2,4
2,8
1,20
2,16
2,38
1,30
1,15
1,37
1,20
1,20
2,34
1,5
1,30
2,14
1,30
2,17
1,0
2,34
2,13
1,40
1,7
1,50
1,40
2,3
2,5
1,0
2,5
1,50
1,10
1,0
2,10
1,5
1,5
1,35
1,10
1,25
1,10
1,35
1,0
1,0
1,0
1,10
1,30
2,11
1,10
1,30
1,12
1,10
2,14
1,25
1,10
2,36
2,14
1,40
1,30
2,33
2,14
1,30
2,9
1,20
1,35
2,10
2,15
2,13
1,0
1,0
2,33
1,10
1,0
2,18
2,22
1,20
1,0
1,40
1,5
2,11
2,0
1,35
2,13
2,2
1,15
1,10
1,10
2,7
1,35
1,25
2,21
1,25
1,30
1,15
2,6
1,20
2,0
1,50
1,30
2,26
2,2
1,10
1,20
1,25
1,10
1,20
2,1
2,44
1,15
2,39
2,10
1,30
1,0
1,25
1,20
1,20
1,10
2,22
1,30
1,0
1,0
1,7
1,40
1,30
1,30
1,20
1,40
2,26
2,25
2,3
1,0
2,14
1,12
2,17
1,10
1,15
2,13
1,35
2,26
2,25
2,14
1,20
1,30
1,20
1,30
2,14
2,6
1,30
1,20
2,31
2,44
2,4
2,12
1,30
2,18
2,3
2,23
1,20
1,0
2,38
2,8
1,5
2,8
1,0
2,15
1,20
1,40
1,30
1,5
1,20
2,20
1,20
1,12
2,7
1,20
2,0
2,16
2,36
1,40
1,0
1,0
2,28
1,15
1,20
1,10
2,13
2,24
2,19
2,18
1,10
2,38
2,19
1,5
2,20
2,29
1,10
1,20
2,20
2,4
1,30
1,5
2,5
1,15
1,15
2,29
1,10
2,0
2,19
1,0
1,20
1,20
1,0
1,20
1,40
1,10
2,20
1,5
1,0
2,8
1,15
1,20
2,9
2,15
1,0
1,0
1,30
1,15
1,20
2,33
1,20
1,5
1,30
1,0
1,30
2,14
1,25
1,40
2,5
1,0
1,20
2,28
2,7
2,25
1,30
2,21
1,35
1,40
2,7
1,10
1,20
2,20
1,10
2,37
1,40
2,8
2,7
2,1
2,4
2,29
1,0
1,30
1,0
2,11
1,20
2,5
1,20
2,47
1,15
2,20
2,1
2,9
1,40
1,40
1,10
2,31
1,10
1,10
1,0
1,10
1,50
1,50
1,20
1,30
1,20
2,11
2,16
2,16
1,5
1,5
1,50
2,11
1,50
2,22
2,41
1,40
2,2
2,11
1,30
1,40
1,20
1,5
1,0
1,50
1,30
1,35
1,25
2,35
1,15
1,35
1,25
1,30
2,17
1,10
2,32
1,10
1,40
1,10
1,30
1,10
2,6
1,20
1,10
2,13
2,20
1,20
1,10
1,5
2,11
2,10
1,2
1,10
2,12
2,12
2,6
1,40
1,15
2,19
2,10
2,28
1,0
2,24
2,13
1,10
1,25
2,31
1,25
2,4
1,10
2,27
2,5
1,5
2,28
2,20
2,10
1,25
1,15
1,15
1,10
2,7
2,6
2,14
1,10
1,40
1,30
2,15
2,6
1,15
1,10
2,11
1,0
2,12
1,25
1,37
2,5
2,28
1,20
1,25
1,10
2,26
1,5
1,10
1,35
1,30
2,3
1,25
1,20
1,15
2,6
1,40
2,25
1,0
1,30
1,20
1,20
1,10
1,20
1,20
1,20
1,25
2,32
2,9
1,30
2,16
1,10
1,15
1,10
1,25
1,25
2,19
1,20
2,24
1,20
1,10
1,10
1,15
2,9
1,25
2,22
2,8
1,5
2,17
2,11
2,15
2,23
2,1
2,3
1,0
2,26
2,34
2,7
2,6
1,25
2,32
2,39
1,15
2,46
1,30
2,2
1,5
1,40
1,20
1,30
1,40
2,26
1,5
1,0
1,30
2,1
1,0
1,15
2,32
1,0
1,0
1,30
2,38
2,12
2,25
1,25
2,3
1,20
1,15
1,30
2,23
2,1
1,20
2,18
1,0
1,20
2,22
2,20
1,20
2,22
1,10
2,10
1,25
2,16
1,10
1,10
1,0
1,30
2,20
1,25
2,9
2,0
1,15
1,15
2,22
1,10
2,28
2,37
2,13
1,35
1,0
1,5
1,40
1,30
1,25
1,25
1,15
2,3
2,7
2,26
1,0
1,15
2,20
1,10
1,5
2,28
1,30
1,15
1,32
2,20
1,10
1,30
1,20
2,9
2,7
1,15
2,26
1,30
1,40
1,30
1,30
1,10
1,20
2,19
1,0
1,30
2,32
1,15
1,50
1,20
2,25
1,0
1,0
1,0
1,0
1,5
1,15
1,20
1,30
2,2
1,40
1,25
1,40
2,8
1,20
2,12
1,20
1,10
1,20
2,0
2,0
1,20
1,15
1,50
1,35
2,29
2,10
2,8
1,15
1,20
1,20
1,25
1,35
2,34
1,20
1,20
1,15
1,40
1,32
2,14
1,0
2,9
2,48
2,7
2,19
2,10
1,50
1,15
2,27
2,14
2,17
1,5
2,15
2,38
1,10
1,5
1,5
1,0
1,7
1,40
1,15
1,0
1,15
1,5
2,6
2,18
1,20
2,32
2,13
1,10
2,16
1,27
1,10
1,30
1,40
1,20
2,26
1,10
1,25
1,30
1,40
1,30
1,0
1,10
2,13
1,40
1,5
1,0
1,10
2,40
1,35
2,18
2,15
2,9
2,25
1,20
1,40
1,35
1,25
1,30
2,3
1,15
2,20
1,20
2,6
2,2
2,33
1,10
1,20
2,26
2,1
1,35
1,20
1,10
1,15
1,25
2,34
1,0
2,5
1,20
2,0
1,0
1,10
1,0
1,40
1,40
2,9
2,4
2,8
1,10
2,4
2,5
2,17
1,10
1,30
1,20
1,20
1,40
2,18
2,4
1,40
1,10
1,10
1,40
2,34
2,16
2,18
1,20
2,13
2,41
1,0
1,15
1,20
1,5
2,37
1,50
1,15
1,50
1,20
2,9
1,40
2,21
2,24
2,3
1,0
2,4
1,10
1,30
1,20
2,10
1,25
2,6
1,20
1,0
1,25
1,20
1,20
1,40
1,5
1,0
1,30
1,5
2,3
1,15
1,20
1,10
1,30
